"news_words","hunspell_stem","hunspell_time","porter_stem","porter_time","rslp_stem","rslp_time","truncation_3","truncation_4","truncation_5","truncation_6","truncation_7","truncation_8"
"nova","novar",0.599195718765259,"nov",0.0258455276489258,"nov",0.0245034694671631,"nov","nova","nova","nova","nova","nova"
"clientes","cliente",0.665425062179565,"client",0.0269699096679688,"client",0.0350396633148193,"cli","clie","clien","client","cliente","clientes"
"corpo","corpo",0.733045816421509,"corp",0.027963399887085,"corp",0.0460789203643799,"cor","corp","corpo","corpo","corpo","corpo"
"deu","dar",0.801891565322876,"deu",0.0290501117706299,"deu",0.0551431179046631,"deu","deu","deu","deu","deu","deu"
"entrevista","entrevistar",0.864612817764282,"entrev",0.030064582824707,"entrev",0.0626773834228516,"ent","entr","entre","entrev","entrevi","entrevis"
"ideia","idear",0.934959888458252,"ide",0.030928373336792,"ide",0.0719189643859863,"ide","idei","ideia","ideia","ideia","ideia"
"manter","manter",1.00502610206604,"mant",0.0317850112915039,"mant",0.0796432495117188,"man","mant","mante","manter","manter","manter"
"necessidade","necessidade",1.09930944442749,"necess",0.0326442718505859,"necess",0.0879013538360596,"nec","nece","neces","necess","necessi","necessid"
"novembro","novembro",1.16728472709656,"novembr",0.0334835052490234,"novembr",0.0968012809753418,"nov","nove","novem","novemb","novembr","novembro"
"plano","planar",1.23503565788269,"plan",0.0343120098114014,"plan",0.105188846588135,"pla","plan","plano","plano","plano","plano"
"poderão","poder",1.29640245437622,"pod",0.0351724624633789,"pod",0.113261461257935,"pod","pode","poder","poderã","poderão","poderão"
"porém","porém",1.36559534072876,"porém",0.0360107421875,"porem",0.122334480285645,"por","poré","porém","porém","porém","porém"
"problema","problema",1.4357123374939,"problem",0.0369312763214111,"problem",0.132142066955566,"pro","prob","probl","proble","problem","problema"
"realizado","realizar",1.50486898422241,"realiz",0.0377781391143799,"realiz",0.139070272445679,"rea","real","reali","realiz","realiza","realizad"
"registrou","registrar",1.57359099388123,"registr",0.0386185646057129,"registr",0.147797822952271,"reg","regi","regis","regist","registr","registro"
"vamos","vá",1.64331412315369,"vam",0.0395011901855469,"vam",0.157182931900024,"vam","vamo","vamos","vamos","vamos","vamos"
"rio","rir",1.70519375801086,"rio",0.0403592586517334,"rio",0.165438413619995,"rio","rio","rio","rio","rio","rio"
"bairro","bairro",1.77440118789673,"bairr",0.0411901473999023,"bairr",0.173701524734497,"bai","bair","bairr","bairro","bairro","bairro"
"começou","começar",1.84256720542908,"comec",0.0420370101928711,"comec",0.182663917541504,"com","come","começ","começo","começou","começou"
"contrato","contratar",1.91134238243103,"contrat",0.0428879261016846,"contrat",0.191261529922485,"con","cont","contr","contra","contrat","contrato"
"falar","falar",1.97998714447021,"fal",0.0437254905700684,"fal",0.199386596679688,"fal","fala","falar","falar","falar","falar"
"importância","portância",2.05873394012451,"import",0.0445897579193115,"import",0.206779003143311,"imp","impo","impor","import","importâ","importân"
"quarentena","quarentenar",2.12462711334229,"quarenten",0.0454378128051758,"quarenten",0.216761827468872,"qua","quar","quare","quaren","quarent","quarente"
"resultados","resultar",2.1953718662262,"result",0.0462827682495117,"result",0.224788665771484,"res","resu","resul","result","resulta","resultad"
"sob","sob",2.26418805122375,"sob",0.0471153259277344,"sob",0.23299503326416,"sob","sob","sob","sob","sob","sob"
"série","série",2.3414294719696,"séri",0.0481207370758057,"seri",0.241223335266113,"sér","séri","série","série","série","série"
"unidades","unos",2.4151029586792,"unidad",0.0494699478149414,"unidad",0.251039743423462,"uni","unid","unida","unidad","unidade","unidades"
"apesar","pesar",2.4923837184906,"apes",0.0508096218109131,"apes",0.259252309799194,"ape","apes","apesa","apesar","apesar","apesar"
"assim","assim",2.57624912261963,"assim",0.0519955158233643,"assim",0.267328023910522,"ass","assi","assim","assim","assim","assim"
"ajudar","ajudar",2.64914155006409,"ajud",0.0528497695922852,"ajud",0.275217056274414,"aju","ajud","ajuda","ajudar","ajudar","ajudar"
"amigos","amigos",2.7261176109314,"amig",0.0536987781524658,"amig",0.285021066665649,"ami","amig","amigo","amigos","amigos","amigos"
"bom","bom",2.80347323417664,"bom",0.0545530319213867,"bom",0.294603586196899,"bom","bom","bom","bom","bom","bom"
"chegar","chegar",2.88034439086914,"cheg",0.0554337501525879,"cheg",0.303035974502563,"che","cheg","chega","chegar","chegar","chegar"
"deixou","deixar",2.95275616645813,"deix",0.0563321113586426,"deix",0.312222480773926,"dei","deix","deixo","deixou","deixou","deixou"
"demais","demais",3.01787662506104,"dem",0.0571861267089844,"demal",0.321086168289185,"dem","dema","demai","demais","demais","demais"
"difícil","difícil",3.09049534797668,"difícil",0.0580310821533203,"dificil",0.350316524505615,"dif","difí","difíc","difíci","difícil","difícil"
"garantir","garantir",3.16116833686829,"garant",0.0588724613189697,"garant",0.35817551612854,"gar","gara","garan","garant","garanti","garantir"
"inclusive","inclusive",3.23546886444092,"inclusiv",0.0598433017730713,"inclusiv",0.367580413818359,"inc","incl","inclu","inclus","inclusi","inclusiv"
"jogos","jogos",3.30826234817505,"jog",0.060840368270874,"jog",0.376903057098389,"jog","jogo","jogos","jogos","jogos","jogos"
"lista","lismo",3.37951803207397,"list",0.0618345737457275,"list",0.385523080825806,"lis","list","lista","lista","lista","lista"
"moradores","morar",3.45456337928772,"morador",0.0628442764282227,"mor",0.393218278884888,"mor","mora","morad","morado","morador","moradore"
"máscaras","máscara",3.52911591529846,"másc",0.0638372898101807,"masc",0.402999401092529,"más","másc","másca","máscar","máscara","máscaras"
"nesse","nesse",3.61036849021912,"ness",0.0648307800292969,"ness",0.411556720733643,"nes","ness","nesse","nesse","nesse","nesse"
"nível","nível",3.68135690689087,"nível",0.0658142566680908,"nivel",0.419745206832886,"nív","níve","nível","nível","nível","nível"
"passar","passar",3.75398659706116,"pass",0.0668103694915771,"pass",0.428275346755981,"pas","pass","passa","passar","passar","passar"
"próximos","próximo",3.8242084980011,"próx",0.0678017139434814,"prox",0.437409162521362,"pró","próx","próxi","próxim","próximo","próximos"
