"web_words","hunspell_stem","hunspell_time","porter_stem","porter_time","rslp_stem","rslp_time","truncation_3","truncation_4","truncation_5","truncation_6","truncation_7","truncation_8"
"administração","administração",0.0666649341583252,"administr",0.00986266136169434,"administr",0.0189511775970459,"adm","admi","admin","admini","adminis","administ"
"alvalade","alvalade",0.130170345306396,"alvalad",0.0107564926147461,"alvalad",0.0278356075286865,"alv","alva","alval","alvala","alvalad","alvalade"
"aves","ave",0.187066316604614,"aves",0.0116057395935059,"ave",0.0365738868713379,"ave","aves","aves","aves","aves","aves"
"barcelona","barcelona",0.244873523712158,"barcelon",0.0124878883361816,"barcel",0.0462591648101807,"bar","barc","barce","barcel","barcelo","barcelon"
"belenenses","belenense",0.309242963790894,"belenens",0.0133280754089355,"belen",0.0545094013214111,"bel","bele","belen","belene","belenen","belenens"
"bruno","brunir",0.367321729660034,"brun",0.014143705368042,"brun",0.0629057884216309,"bru","brun","bruno","bruno","bruno","bruno"
"cinema","cinema",0.424615383148193,"cinem",0.0149617195129395,"cinem",0.0715594291687012,"cin","cine","cinem","cinema","cinema","cinema"
"deus","deus",0.516884565353394,"deus",0.0166225433349609,"deu",0.081052303314209,"deu","deus","deus","deus","deus","deus"
"dragão","dragão",0.5740065574646,"dragã",0.0174472332000732,"drag",0.0894744396209717,"dra","drag","dragã","dragão","dragão","dragão"
"figueira","figueira",0.696280241012573,"figueir",0.0195391178131104,"figu",0.0978271961212158,"fig","figu","figue","figuei","figueir","figueira"
"filipe","filipar",0.754025220870972,"filip",0.0203816890716553,"filip",0.106596946716309,"fil","fili","filip","filipe","filipe","filipe"
"finanças","finança",0.817525863647461,"financ",0.0212037563323975,"financ",0.116443634033203,"fin","fina","finan","finanç","finança","finanças"
"jardim","jardim",0.874641895294189,"jardim",0.0220568180084229,"jardim",0.12517237663269,"jar","jard","jardi","jardim","jardim","jardim"
"lux","lux",0.937940359115601,"lux",0.0228588581085205,"lux",0.133618593215942,"lux","lux","lux","lux","lux","lux"
"lage","lage",0.995223999023438,"lag",0.0236737728118896,"lag",0.142112731933594,"lag","lage","lage","lage","lage","lage"
"luz","luzir",1.05241131782532,"luz",0.0244810581207275,"luz",0.15067195892334,"luz","luz","luz","luz","luz","luz"
"madeira","madeirar",1.11584162712097,"madeir",0.0253007411956787,"mad",0.158895015716553,"mad","made","madei","madeir","madeira","madeira"
"melhor","melhor",1.17266345024109,"melhor",0.0261185169219971,"melhor",0.167079210281372,"mel","melh","melho","melhor","melhor","melhor"
"navegue","navegar",1.22965145111084,"naveg",0.0269334316253662,"naveg",0.175474882125854,"nav","nave","naveg","navegu","navegue","navegue"
"ocidente","ocidente",1.29304027557373,"ocident",0.0277690887451172,"ocid",0.183894634246826,"oci","ocid","ocide","ociden","ocident","ocidente"
"oriente","orientar",1.35002136230469,"orient",0.0285930633544922,"orient",0.194165468215942,"ori","orie","orien","orient","oriente","oriente"
"qualquer","qualquer",1.40694737434387,"qualqu",0.0294094085693359,"qualqu",0.203006982803345,"qua","qual","qualq","qualqu","qualque","qualquer"
"queremos","querer",1.47025632858276,"quer",0.0302324295043945,"quer",0.21345853805542,"que","quer","quere","querem","queremo","queremos"
"relativamente","relativos",1.55626678466797,"relat",0.0317609310150146,"relativ",0.223636150360107,"rel","rela","relat","relati","relativ","relativa"
"sanem","sanar",1.62008094787598,"san",0.0325860977172852,"san",0.232772588729858,"san","sane","sanem","sanem","sanem","sanem"
"todas","todo",1.73658585548401,"tod",0.0346856117248535,"tod",0.263281345367432,"tod","toda","todas","todas","todas","todas"
"twitter","twitter",1.80604934692383,"twitt",0.0355079174041748,"twitt",0.271416425704956,"twi","twit","twitt","twitte","twitter","twitter"
"abrir","abrir",1.86465716362,"abrir",0.0363287925720215,"abr",0.279906749725342,"abr","abri","abrir","abrir","abrir","abrir"
"acompanhado","acompanhar",1.92957878112793,"acompanh",0.0371403694152832,"acompanh",0.287516832351685,"aco","acom","acomp","acompa","acompan","acompanh"
"admitiu","admitir",1.98675966262817,"admit",0.0379660129547119,"admit",0.295773983001709,"adm","admi","admit","admiti","admitiu","admitiu"
"agendado","agendar",2.04379725456238,"agend",0.038799524307251,"agend",0.305520296096802,"age","agen","agend","agenda","agendad","agendado"
"anteriores","anterior",2.10708713531494,"anterior",0.0396146774291992,"anteri",0.31714653968811,"ant","ante","anter","anteri","anterio","anterior"
"anunciar","nunciar",2.16397213935852,"anunc",0.0404496192932129,"anunci",0.325144290924072,"anu","anun","anunc","anunci","anuncia","anunciar"
"aplicação","plicação",2.22131085395813,"aplic",0.0412681102752686,"aplic",0.332592248916626,"apl","apli","aplic","aplica","aplicaç","aplicaçã"
"arranca","arrancar",2.28469610214233,"arranc",0.0420870780944824,"arranc",0.341106414794922,"arr","arra","arran","arranc","arranca","arranca"
"assegurou","assegurar",2.3419930934906,"assegur",0.0429084300994873,"assegur",0.349393129348755,"ass","asse","asseg","assegu","assegur","asseguro"
"assunto","assuntar",2.39931011199951,"assunt",0.0437357425689697,"assunt",0.357739210128784,"ass","assu","assun","assunt","assunto","assunto"
"atingir","tingir",2.46256685256958,"ating",0.0445539951324463,"ating",0.365835905075073,"ati","atin","ating","atingi","atingir","atingir"
"avaliação","avaliação",2.51969861984253,"avali",0.0453779697418213,"avali",0.373312711715698,"ava","aval","avali","avalia","avaliaç","avaliaçã"
"bater","bater",2.58249831199646,"bat",0.0461878776550293,"bat",0.38109827041626,"bat","bate","bater","bater","bater","bater"
"belgas","belga",2.63985371589661,"belg",0.0470030307769775,"belg",0.390755176544189,"bel","belg","belga","belgas","belgas","belgas"
"candidatos","candidatos",2.6968686580658,"candidat",0.0478456020355225,"candidat",0.400490283966064,"can","cand","candi","candid","candida","candidat"
"candidatura","candidatura",2.76126646995544,"candidatur",0.0486927032470703,"candidat",0.407849073410034,"can","cand","candi","candid","candida","candidat"
"causou","causar",2.81868815422058,"caus",0.04958176612854,"caus",0.416167974472046,"cau","caus","causo","causou","causou","causou"
"cereais","cereal",2.87585473060608,"cer",0.0504014492034912,"cere",0.424088001251221,"cer","cere","cerea","cereai","cereais","cereais"
"cima","cimo",2.93920421600342,"cim",0.0512137413024902,"cim",0.433029651641846,"cim","cima","cima","cima","cima","cima"
"companhia","companhia",2.99632000923157,"companh",0.0520684719085693,"companh",0.441682815551758,"com","comp","compa","compan","companh","companhi"
"condutores","condutor",3.05337142944336,"condutor",0.0528926849365234,"condu",0.449652433395386,"con","cond","condu","condut","conduto","condutor"
"conhecida","conhecer",3.11666107177734,"conhec",0.0537548065185547,"conhec",0.45738697052002,"con","conh","conhe","conhec","conheci","conhecid"
"consequências","consequência",3.17388319969177,"consequent",0.054591178894043,"consequ",0.465985298156738,"con","cons","conse","conseq","consequ","consequê"
"considera","considerar",3.2310254573822,"consid",0.0554428100585938,"consid",0.474642992019653,"con","cons","consi","consid","conside","consider"
"crimes","crime",3.29428958892822,"crim",0.0562629699707031,"crim",0.48360538482666,"cri","crim","crime","crimes","crimes","crimes"
"câmara","câmara",3.35130023956299,"câm",0.0570833683013916,"cam",0.493306636810303,"câm","câma","câmar","câmara","câmara","câmara"
"descobrir","cobrir",3.41454410552979,"descobr",0.0579144954681396,"descobr",0.502004146575928,"des","desc","desco","descob","descobr","descobri"
