"wiki_words","hunspell_stem","hunspell_time","rslp_stem","rslp_time","porter_stem","porter_time","truncation_3","truncation_4","truncation_5","truncation_6","truncation_7","truncation_8"
"apesar","pesar",0.0824050903320312,"apes",0.0191421508789062,"apes",0.0133931636810303,"ape","apes","apesa","apesar","apesar","apesar"
"paulo","paular",0.143834590911865,"paul",0.0271914005279541,"paul",0.0143070220947266,"pau","paul","paulo","paulo","paulo","paulo"
"rio","rir",0.220745325088501,"rio",0.0355527400970459,"rio",0.0151636600494385,"rio","rio","rio","rio","rio","rio"
"agosto","gostar",0.286464691162109,"agost",0.0465347766876221,"agost",0.0160622596740723,"ago","agos","agost","agosto","agosto","agosto"
"período","período",0.350448131561279,"period",0.0555708408355713,"períod",0.0169038772583008,"per","perí","perío","períod","período","período"
"pouco","pouco",0.430296421051025,"pouc",0.0639348030090332,"pouc",0.0177478790283203,"pou","pouc","pouco","pouco","pouco","pouco"
"programa","programar",0.496623754501343,"program",0.0730175971984863,"program",0.0186235904693604,"pro","prog","progr","progra","program","programa"
"público","público",0.560210943222046,"public",0.0815889835357666,"públic",0.0194785594940186,"púb","públ","públi","públic","público","público"
"ficou","ficar",0.6407151222229,"fic",0.0894322395324707,"fic",0.0203354358673096,"fic","fico","ficou","ficou","ficou","ficou"
"hoje","hoje",0.705337047576904,"hoj",0.0978922843933105,"hoj",0.0211725234985352,"hoj","hoje","hoje","hoje","hoje","hoje"
"mil","mil",0.773647308349609,"mil",0.106055974960327,"mil",0.0220088958740234,"mil","mil","mil","mil","mil","mil"
"nova","novar",0.838749408721924,"nov",0.115138530731201,"nov",0.0228681564331055,"nov","nova","nova","nova","nova","nova"
"novembro","novembro",0.91818642616272,"novembr",0.123833417892456,"novembr",0.0239536762237549,"nov","nove","novem","novemb","novembr","novembro"
"pois","pois",0.984002113342285,"poi",0.132618188858032,"pois",0.025287389755249,"poi","pois","pois","pois","pois","pois"
"qualquer","qualquer",1.04897165298462,"qualqu",0.140699863433838,"qualqu",0.026616096496582,"qua","qual","qualq","qualqu","qualque","qualquer"
"sucesso","sucesso",1.15786004066467,"sucess",0.149108171463013,"sucess",0.027921199798584,"suc","suce","suces","sucess","sucesso","sucesso"
"durante","durar",1.22470879554749,"dur",0.156094789505005,"durant",0.0292513370513916,"dur","dura","duran","durant","durante","durante"
"jogos","jogos",1.28983354568481,"jog",0.165244340896606,"jog",0.0305604934692383,"jog","jogo","jogos","jogos","jogos","jogos"
"pai","pai",1.36850333213806,"pai",0.173591375350952,"pai",0.0318689346313477,"pai","pai","pai","pai","pai","pai"
"processo","processar",1.43012547492981,"process",0.195544481277466,"process",0.0331828594207764,"pro","proc","proce","proces","process","processo"
"uso","usar",1.49208426475525,"uso",0.205065488815308,"uso",0.0344853401184082,"uso","uso","uso","uso","uso","uso"
"abril","abril",1.56908464431763,"abril",0.213602304458618,"abril",0.0357973575592041,"abr","abri","abril","abril","abril","abril"
"acordo","acordar",1.63352560997009,"acord",0.22195029258728,"acord",0.037118673324585,"aco","acor","acord","acordo","acordo","acordo"
"empresa","empresar",1.69790577888489,"empr",0.229693412780762,"empres",0.0384695529937744,"emp","empr","empre","empres","empresa","empresa"
"maio","maiar",1.76080942153931,"mai",0.238131523132324,"mai",0.0398170948028564,"mai","maio","maio","maio","maio","maio"
"projeto","projetar",1.84025526046753,"projet",0.24638295173645,"projet",0.0411322116851807,"pro","proj","proje","projet","projeto","projeto"
"total","total",1.90234732627869,"total",0.254542112350464,"total",0.0424532890319824,"tot","tota","total","total","total","total"
"equipe","equipar",1.96448230743408,"equip",0.262669801712036,"equip",0.0437576770782471,"equ","equi","equip","equipe","equipe","equipe"
